Designator,Mid X,Mid Y,Rotation,Layer
C1,147.375,-61.325,180.0,top
C10,178.495663,-35.94,0.0,top
C11,185.233928,-35.94,0.0,top
C12,191.972194,-35.94,0.0,top
C13,130.435,-94.0,0.0,top
C14,160.6,-79.4,180.0,top
C15,160.6,-83.95,180.0,top
C16,129.75,-66.15,0.0,top
C17,132.8,-66.15,0.0,top
C18,198.710459,-35.915,0.0,top
C19,151.542602,-42.425,0.0,top
C2,144.325,-56.185,180.0,top
C20,158.280867,-42.425,0.0,top
C21,165.019133,-42.425,0.0,top
C22,171.757398,-42.425,0.0,top
C23,178.495663,-42.425,0.0,top
C24,185.233928,-42.425,0.0,top
C25,191.972194,-42.425,0.0,top
C26,198.710459,-42.4,0.0,top
C27,126.875,-70.9,90.0,top
C28,151.567602,-29.5,0.0,top
C29,126.875,-73.95,270.0,top
C3,147.375,-56.175,180.0,top
C30,158.305867,-29.5,0.0,top
C31,129.7,-54.075,0.0,top
C32,165.044133,-29.5,0.0,top
C34,171.782398,-29.5,0.0,top
C36,178.520663,-29.5,0.0,top
C38,185.258928,-29.5,0.0,top
C4,147.375,-66.425,180.0,top
C40,191.997194,-29.5,0.0,top
C42,198.735459,-29.475,0.0,top
C5,141.925,-58.775,270.0,top
C6,151.542602,-35.94,0.0,top
C7,158.280867,-35.94,0.0,top
C8,165.019133,-35.94,0.0,top
C9,171.757398,-35.94,0.0,top
D1,151.567602,-32.4,180.0,top
D10,139.1625,-72.475,180.0,top
D11,198.735459,-32.375,180.0,top
D12,151.542602,-38.865,180.0,top
D13,158.280867,-38.865,180.0,top
D14,165.019133,-38.865,180.0,top
D15,171.757398,-38.865,180.0,top
D16,178.495663,-38.865,180.0,top
D17,185.233928,-38.865,180.0,top
D18,191.972194,-38.865,180.0,top
D19,198.710459,-38.84,180.0,top
D2,158.305867,-32.4,180.0,top
D20,151.542602,-45.35,180.0,top
D21,158.280867,-45.35,180.0,top
D22,165.019133,-45.35,180.0,top
D23,171.757398,-45.35,180.0,top
D24,178.495663,-45.35,180.0,top
D25,185.233928,-45.35,180.0,top
D26,191.972194,-45.35,180.0,top
D27,198.710459,-45.325,180.0,top
D3,165.044133,-32.4,180.0,top
D4,171.782398,-32.4,180.0,top
D5,127.65,-99.14,90.0,top
D6,178.520663,-32.4,180.0,top
D7,185.258928,-32.4,180.0,top
D8,191.997194,-32.4,180.0,top
D9,169.3,-78.45,90.0,top
J1,148.6,-100.37,0.0,top
J10,132.54,-77.375,90.0,top
J11,126.235,-88.25,90.0,top
J2,159.275,-100.37,0.0,top
J3,126.19,-84.65,90.0,top
J4,128.72,-81.025,90.0,top
J5,145.585459,-38.1,0.0,top
J6,124.92,-92.0,90.0,top
J7,134.275,-100.1,0.0,top
J8,164.0,-86.675,270.0,top
J9,123.5625,-60.6025,270.0,top
R1,147.75,-94.315,90.0,top
R10,131.5,-88.275,270.0,top
R14,141.175,-97.09,0.0,top
R15,141.175,-99.99,0.0,top
R16,160.6,-77.875,0.0,top
R17,169.3,-81.55,270.0,top
R19,160.6,-80.925,0.0,top
R2,149.45,-94.315,90.0,top
R3,158.425,-94.29,90.0,top
R4,160.125,-94.29,90.0,top
R5,138.725,-69.8,180.0,top
R6,138.7,-67.7,0.0,top
R7,144.35,-61.325,0.0,top
R8,144.325,-66.425,0.0,top
R9,124.175,-70.15,180.0,top
SW1,165.897,-92.075,90.0,top
SW3,145.85,-63.875,0.0,top
SW4,145.85,-58.775,0.0,top
U1,159.125,-60.36,0.0,top
U2,123.9125,-73.4375,270.0,top
U3,131.9125,-60.14,90.0,top
U6,165.3,-79.4,180.0,top
U7,132.6625,-70.575,180.0,top
